course_id,course_name,original_course_name,teacher,credits,course_type,course_category,domain,campus,time_slot,location,capacity,current_enrolled,current_enrollment_ratio,popularity_level,rush_advice,grade_limit,major_limit,prerequisite,description,assessment,difficulty,workload,grade_friendly,attendance_required,has_exam,group_work_required,suitable_for,tags,data_source,source_visible_fields,inference_note,screenshot_note,history_2025_limit,history_2025_enrolled,history_2024_limit,history_2024_enrolled,history_2023_limit,history_2023_enrolled,avg_history_enrollment_ratio
GXK2026001,啤酒游戏-漫谈供应链管理,啤酒游戏-漫谈供应链管理,范捷,1.5,公共选修课,自然科学与工程技术类,工程技术,南校区,周二第5-6节,教学楼B305,100,101,1.01,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,啤酒游戏-漫谈供应链管理介绍工程技术、产业发展或管理决策中的基础概念，适合对科技应用和产业趋势感兴趣的学生。,平时作业30%;案例作业30%;期末报告40%,中,中,中,偶尔,否,否,适合对工程技术感兴趣、希望通过公共选修课拓展知识面的学生。,工程技术;产业;案例;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,100,97,110,113,90,90,0.9991
GXK2026002,从科技预言到电动中国：锂电池、光伏与电动汽车,从科技预言到电动中国：锂电池、光伏与电动汽车,朱昌宝,1.5,公共选修课,自然科学与工程技术类,工程技术,南校区,周三第9-10节,综合楼C101,100,101,1.01,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,从科技预言到电动中国：锂电池、光伏与电动汽车介绍工程技术、产业发展或管理决策中的基础概念，适合对科技应用和产业趋势感兴趣的学生。,平时作业30%;案例作业30%;期末报告40%,中,中,中,偶尔,否,否,适合对工程技术感兴趣、希望通过公共选修课拓展知识面的学生。,工程技术;产业;案例;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,90,87,100,103,105,105,0.9989
GXK2026003,风景地貌学,风景地貌学,杨雪强,1.5,公共选修课,自然科学与工程技术类,自然环境,东校区,周四第7-8节,人文楼204,200,200,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,风景地貌学关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,偶尔,否,否,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,205,197,205,209,210,208,0.9903
GXK2026004,环境问题案例,环境问题案例,钟胜,1.5,公共选修课,自然科学与工程技术类,自然环境,东校区,周三第9-10节,理科楼308,160,162,1.0125,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,环境问题案例关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,偶尔,否,否,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,前半段周三晚,150,146,150,155,155,155,1.0022
GXK2026005,基本乐理,基本乐理,傅强,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周六第1-2节,艺术楼102,30,30,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,基本乐理以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,35,34,35,36,30,30,1.0
GXK2026006,基本乐理-2班,基本乐理,傅强,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周一第9-10节,教学楼A203,30,30,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,基本乐理以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,25,24,40,41,20,20,0.995
GXK2026007,基本乐理-3班,基本乐理,傅强,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周二第5-6节,教学楼B305,30,30,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,基本乐理以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,20,19,35,36,40,40,0.9929
GXK2026008,解读动漫流行文化,解读动漫流行文化,曾天然,1.5,公共选修课,人文与社会科学类,人文艺术,南校区,周三第9-10节,综合楼C101,155,154,0.9935,热门,建议第一轮优先选择,无限制,无限制,无,解读动漫流行文化以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,150,143,165,167,150,148,0.984
GXK2026009,神话传说与中国文化,神话传说与中国文化,宋婷婷,1.5,公共选修课,人文与社会科学类,人文艺术,南校区,周四第7-8节,人文楼204,155,155,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,神话传说与中国文化以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,165,158,150,153,165,163,0.9885
GXK2026010,生物安全与现代生活,生物安全与现代生活,廖问陶,1.5,公共选修课,自然科学与工程技术类,自然环境,东校区,周五第3-4节,理科楼308,100,101,1.01,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,生物安全与现代生活关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,偶尔,否,否,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,90,87,100,103,90,90,0.9989
GXK2026011,食品营养与卫生,食品营养与卫生,熊开容,1.5,公共选修课,自然科学与工程技术类,自然科学与工程技术类,主校区,周三第9-10节,艺术楼102,50,50,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,食品营养与卫生是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,偶尔,否,否,适合对自然科学与工程技术类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;自然科学与工程技术类,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,前半段周三晚,45,43,40,41,50,50,0.9935
GXK2026012,世界旅游地理,世界旅游地理,马小宁,1.5,公共选修课,自然科学与工程技术类,自然环境,西校区,周一第9-10节,教学楼A203,100,100,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,世界旅游地理关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,偶尔,否,否,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,90,86,105,107,95,94,0.988
GXK2026013,书法与篆刻,书法与篆刻,刘乐舟,1.5,公共选修课,人文与社会科学类,人文艺术,西校区,周二第5-6节,教学楼B305,70,61,0.8714,正常偏热,有一定竞争，建议提前加入备选,无限制,无限制,无,书法与篆刻以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,60,50,65,58,70,60,0.8609
GXK2026014,水资源概论,水资源概论,韩泽军,1.5,公共选修课,自然科学与工程技术类,自然环境,主校区,周三第9-10节,综合楼C101,60,31,0.5167,正常,选上概率相对稳定,无限制,无限制,无,水资源概论关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,偶尔,否,否,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,张帆1/韩泽军2/彭斯格3-8,55,26,50,27,65,33,0.5068
GXK2026015,通俗歌曲演唱技法,通俗歌曲演唱技法,王晶一,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周四第7-8节,人文楼204,20,20,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,通俗歌曲演唱技法以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,30,29,25,26,20,20,1.0022
GXK2026016,现代犯罪与刑法总论,现代犯罪与刑法总论,刘乐舟,1.5,公共选修课,人文与社会科学类,社会实务,东校区,周五第3-4节,理科楼308,150,150,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,现代犯罪与刑法总论面向社会生活、法律金融或表达沟通场景，强调知识理解与实际案例分析。,课堂参与30%;案例分析30%;期末论文或展示40%,中,中,中,偶尔,否,否,适合对社会实务感兴趣、希望通过公共选修课拓展知识面的学生。,社会科学;案例分析;展示;实用;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,145,139,140,143,145,144,0.991
GXK2026017,幸福来敲门-积极心理学,幸福来敲门-积极心理学,吴伟卿,1.5,公共选修课,人文与社会科学类,心理成长,东校区,周六第1-2节,艺术楼102,100,100,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,幸福来敲门-积极心理学围绕大学生心理、亲密关系和自我成长展开，适合关注情绪管理、人际关系与个人发展的学生。,平时参与40%;课程小论文40%;课堂互动20%;无闭卷考试,低,低,高,偶尔,否,否,适合对心理成长感兴趣、希望通过公共选修课拓展知识面的学生。,心理;成长;无闭卷考试;给分友好;讨论;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,110,106,105,107,105,104,0.991
GXK2026018,演讲与口才,演讲与口才,韩亚楠,1.5,公共选修课,人文与社会科学类,社会实务,东校区,周一第9-10节,教学楼A203,30,30,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,演讲与口才面向社会生活、法律金融或表达沟通场景，强调知识理解与实际案例分析。,课堂参与30%;案例分析30%;期末论文或展示40%,中,中,中,偶尔,否,否,适合对社会实务感兴趣、希望通过公共选修课拓展知识面的学生。,社会科学;案例分析;展示;实用;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,20,19,20,20,20,20,0.9833
