course_id,course_name,teacher,credits,course_type,course_category,domain,campus,time_slot,location,capacity,current_enrolled,current_enrollment_ratio,popularity_level,rush_advice,description,assessment,difficulty,workload,grade_friendly,has_exam,group_work_required,suitable_for,tags,screenshot_note,avg_history_enrollment_ratio
GXK2026001,啤酒游戏-漫谈供应链管理,范捷,1.5,公共选修课,自然科学与工程技术类,工程技术,南校区,周二第5-6节,教学楼B305,100,101,1.01,4,非常热门，选课阶段需要优先抢课,啤酒游戏-漫谈供应链管理介绍工程技术、产业发展或管理决策中的基础概念，适合对科技应用和产业趋势感兴趣的学生。,平时作业30%;案例作业30%;期末报告40%,中,中,中,0,0,适合对工程技术感兴趣、希望通过公共选修课拓展知识面的学生。,工程技术;产业;案例;报告;自然科学与工程技术类;公共选修课,,0.9991
GXK2026002,从科技预言到电动中国：锂电池、光伏与电动汽车,朱昌宝,1.5,公共选修课,自然科学与工程技术类,工程技术,南校区,周三第9-10节,综合楼C101,100,101,1.01,4,非常热门，选课阶段需要优先抢课,从科技预言到电动中国：锂电池、光伏与电动汽车介绍工程技术、产业发展或管理决策中的基础概念，适合对科技应用和产业趋势感兴趣的学生。,平时作业30%;案例作业30%;期末报告40%,中,中,中,0,0,适合对工程技术感兴趣、希望通过公共选修课拓展知识面的学生。,工程技术;产业;案例;报告;自然科学与工程技术类;公共选修课,,0.9989
GXK2026003,风景地貌学,杨雪强,1.5,公共选修课,自然科学与工程技术类,自然环境,东校区,周四第7-8节,人文楼204,200,200,1.0,4,非常热门，选课阶段需要优先抢课,风景地貌学关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,0,0,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,,0.9903
GXK2026004,环境问题案例,钟胜,1.5,公共选修课,自然科学与工程技术类,自然环境,东校区,周三第9-10节,理科楼308,160,162,1.0125,4,非常热门，选课阶段需要优先抢课,环境问题案例关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,0,0,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,前半段周三晚,1.0022
GXK2026005,基本乐理,傅强,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周六第1-2节,艺术楼102,30,30,1.0,4,非常热门，选课阶段需要优先抢课,基本乐理以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,0,0,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,,1.0
GXK2026006,基本乐理,傅强,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周一第9-10节,教学楼A203,30,30,1.0,4,非常热门，选课阶段需要优先抢课,基本乐理以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,0,0,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,,0.995
GXK2026007,基本乐理,傅强,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周二第5-6节,教学楼B305,30,30,1.0,4,非常热门，选课阶段需要优先抢课,基本乐理以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,0,0,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,,0.9929
GXK2026008,解读动漫流行文化,曾天然,1.5,公共选修课,人文与社会科学类,人文艺术,南校区,周三第9-10节,综合楼C101,155,154,0.9935,3,建议第一轮优先选择,解读动漫流行文化以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,0,0,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,,0.984
GXK2026009,神话传说与中国文化,宋婷婷,1.5,公共选修课,人文与社会科学类,人文艺术,南校区,周四第7-8节,人文楼204,155,155,1.0,4,非常热门，选课阶段需要优先抢课,神话传说与中国文化以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,0,0,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,,0.9885
GXK2026010,生物安全与现代生活,廖问陶,1.5,公共选修课,自然科学与工程技术类,自然环境,东校区,周五第3-4节,理科楼308,100,101,1.01,4,非常热门，选课阶段需要优先抢课,生物安全与现代生活关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,0,0,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,,0.9989
