course_id,course_name,teacher,credits,course_type,course_category,domain,campus,time_slot,location,capacity,current_enrolled,current_enrollment_ratio,popularity_level,rush_advice,description,assessment,difficulty,workload,grade_friendly,has_exam,group_work_required,suitable_for,tags,screenshot_note,avg_history_enrollment_ratio
GXK2026411,天文学与宇宙探索案例分析,萧伟洋,1.5,公共选修课,人文与社会科学类,人文与社会科学类,东校区,周四第7-8节,人文楼204,70,44,0.6286,1,选上概率相对稳定,天文学与宇宙探索案例分析是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,0,0,适合对人文与社会科学类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;人文与社会科学类,,0.6174
GXK2026412,个人理财基础案例分析,郑晨琪,1.5,公共选修课,自然科学与工程技术类,自然科学与工程技术类,东校区,周五第3-4节,理科楼308,150,48,0.32,0,选上概率较高，可作为保底课程,个人理财基础案例分析是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,0,0,适合对自然科学与工程技术类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;自然科学与工程技术类,,0.3115
GXK2026413,海洋科学导论案例分析,朱敏琪,1.5,公共选修课,自然科学与工程技术类,自然科学与工程技术类,主校区,周六第1-2节,艺术楼102,80,80,1.0,4,非常热门，选课阶段需要优先抢课,海洋科学导论案例分析是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,0,0,适合对自然科学与工程技术类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;自然科学与工程技术类,,0.9884
GXK2026414,宏观经济与日常决策案例分析,徐佳娜,1.5,公共选修课,人文与社会科学类,人文与社会科学类,主校区,周一第9-10节,教学楼A203,160,158,0.9875,3,建议第一轮优先选择,宏观经济与日常决策案例分析是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,0,0,适合对人文与社会科学类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;人文与社会科学类,,0.9768
GXK2026415,环境监测技术案例分析,冯卓越,1.5,公共选修课,自然科学与工程技术类,自然环境,南校区,周二第5-6节,教学楼B305,120,104,0.8667,2,有一定竞争，建议提前加入备选,环境监测技术案例分析关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,0,0,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,,0.8588
GXK2026416,演讲表达与舞台呈现案例分析,冯然博,1.5,公共选修课,人文与社会科学类,社会实务,南校区,周三第9-10节,综合楼C101,150,97,0.6467,1,选上概率相对稳定,演讲表达与舞台呈现案例分析面向社会生活、法律金融或表达沟通场景，强调知识理解与实际案例分析。,课堂参与30%;案例分析30%;期末论文或展示40%,中,中,中,0,0,适合对社会实务感兴趣、希望通过公共选修课拓展知识面的学生。,社会科学;案例分析;展示;实用;人文与社会科学类;公共选修课,,0.6371
GXK2026417,健康大数据与公共卫生案例分析,唐强欣,1.5,公共选修课,自然科学与工程技术类,自然科学与工程技术类,主校区,周四第7-8节,人文楼204,40,22,0.55,1,选上概率相对稳定,健康大数据与公共卫生案例分析是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,0,0,适合对自然科学与工程技术类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;自然科学与工程技术类,,0.5426
GXK2026418,中国传统节日文化实践,周涵琪,1.5,公共选修课,人文与社会科学类,人文艺术,南校区,周五第3-4节,理科楼308,100,58,0.58,1,选上概率相对稳定,中国传统节日文化实践以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,0,0,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,,0.5684
GXK2026419,人工智能通识实践,谢楠磊,1.5,公共选修课,自然科学与工程技术类,自然科学与工程技术类,南校区,周六第1-2节,艺术楼102,155,117,0.7548,1,选上概率相对稳定,人工智能通识实践是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,0,0,适合对自然科学与工程技术类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;自然科学与工程技术类,,0.7435
GXK2026420,唐诗宋词与现代生活实践,唐芳然,1.5,公共选修课,自然科学与工程技术类,自然科学与工程技术类,南校区,周一第9-10节,教学楼A203,100,100,1.0,4,非常热门，选课阶段需要优先抢课,唐诗宋词与现代生活实践是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,0,0,适合对自然科学与工程技术类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;自然科学与工程技术类,,0.9899
